Sefer1	Sefer2	Score
Zephaniah	Ruth	0.0015771000578258501
Breishit	Haggai	0.0015747913628459385
Vayikra	Zephaniah	0.0015716941608719484
Zephaniah	Haggai	0.001561373234006535
Zephaniah	Ezra	0.0015609839926214093
Haggai	Nahum	0.001558043460347267
Haggai	I Chronicles	0.0015247998416810038
Zephaniah	Jonah	0.0015222135206244595
Haggai	Ruth	0.0015140820815960066
Judges	Obadiah	0.0015074792950780615
Dvarim	Obadiah	0.0014899583122258632
Haggai	Habakkuk	0.0014764685982254794
Breishit	Nahum	0.001473786873139391
Nahum	Ezra	0.0014670559537678977
Obadiah	Song of Songs	0.0014105426370242958
Jonah	Daniel	0.0014030492856407749
Habakkuk	Esther	0.0013688625976468823
Vayikra	Jonah	0.0013367243777118593
Zephaniah	Obadiah	0.0013321765294323472
I Kings	Obadiah	0.0013212901769769467
Obadiah	Joshua	0.0013192728564414094
Haggai	Psalms	0.0013102738698281848
Habakkuk	Ezra	0.0012751369907519712
Ezekiel	Obadiah	0.0012641457020001728
Habakkuk	Ruth	0.0012553070113758926
Jonah	Ezra	0.0012472327560901116
Haggai	Ecclesiastes	0.0012317903025593124
Habakkuk	Malachi	0.0012300669055485807
Haggai	Jonah	0.0012199537546747732
Nahum	Daniel	0.0012147806693412998
Obadiah	Ecclesiastes	0.0012071643691743388
Zephaniah	Daniel	0.0011828470003605528
I Samuel	Obadiah	0.001176463761432014
Jonah	Obadiah	0.0011634705378560405
Obadiah	II Kings	0.0011577469439643564
Obadiah	Isaiah	0.0011567861905247667
Nahum	Ruth	0.0011490269437475493
Shmot	Obadiah	0.0011197649139811235
Bamidbar	Obadiah	0.0011083718516513093
Habakkuk	Obadiah	0.0011082259000467938
II Samuel	Obadiah	0.001101384680330222
Nahum	Obadiah	0.001092630789225323
Zephaniah	Malachi	0.0010608759891255644
Obadiah	Malachi	0.0010544161950062918
Haggai	Lamentations	0.001038193767543133
Jonah	Malachi	0.0010217447687052286
Malachi	Song of Songs	0.001013662630799344
Haggai	Proverbs	0.0010012078047010092
Breishit	Obadiah	0.000947050952426313
Obadiah	Psalms	0.0009310721524153656
Obadiah	Daniel	0.000894719525643181
Haggai	Job	0.000872319100546161
Obadiah	Nehemiah	0.0008440731871630897
Vayikra	Obadiah	0.000837008973722319
Obadiah	Ruth	0.0007993385293677849
Obadiah	Ezra	0.0007680756687336088
Obadiah	II Chronicles	0.0007589759011880051
Haggai	Obadiah	0.0007544352392816334
Obadiah	I Chronicles	0.0007239459963505173
Obadiah	Esther	0.0006770862083544135
