Gmatria	Word
85	מהם | הכין | להן | כהני | וגעו | פה | אדניך | המזלג | הגבעה | אמלטה
86	וינוחו | אלהים | לנו | ולכל | הכסא | ודעו | כמוך | ולמי | יכנו | עבדי | דבלים | ועוד | כבדני | אליהם
87	אפו | נבהל | ואף | ואנכי | בכהני | אלון | לאכול | והיינו | וכסא
88	נגלה | ובינך | ובניך | ונבל | לחמי | נחל | באלהים | חסידו
89	והלחם
90	כליל | ידעו | מכל | כלם | וידע | פי | מלך | בנחל | לכם | האפד | למדיו | מים | באזניך | מן | יודע | יינך
91	אלהיהם | נאם | והכני | האלהים | והמזלג | הכינו | אילים | גבולן | אפוד
92	עבדיו | ועבדי | מאומה | לבני | במלך | הגדלים | ולנו | ואלהים | חסדך | מהבמה | מבן | פחד | אצא | נבלי | בטלאים | ולאביגיל
93	מאבן | הלחמי | הנגלה | ועבדהו | ונבלה | גמלך | הנחל | צבא | לנביא
94	לבבכם | לדין | דמים | וילחם | ויחמל | מדן | ילדים | מידם
95	המים | ויעט | פיה | וימלט | לאדני | יפה | המלך | הנם | מנגב | מנה
96	מהומה | איפה | האפוד | פיו | וידעו | יומם | בדמים | יודעו | עבדך | אילנה | וכידון | מיום
97	ומלאך | והלוים | אלינו | לנגיד | והכינו | מנגד | זיף
98	נחם | בעבדך | ובכידון | במלכו | ויעבדו | הצבא | חנם | חסידיו
99	ויגף | ולחנה | מחוילה | החלון | אפיח | צבאו | צדה | נמוג
100	לכן | מימי | המלכה | מיכל | מלכי | ימים | על | ממך | נלך | המנה | כלים | כף | מכם | וילחמו | ימלך | פך
101	יצא | מהיום | ויהמם | ויעזבו | מלאכי | אכלים | הכלמו | אליכם | המלאכה | צוה
102	מבני | בימים | ואיפה | זיפה | כנבל | בנים | אלהינו
103	מנחה | מחנה | צובה | אבנים | עגל | נבאים | נגן
104	וחץ | וכובע | נמבזה
105	לכהן | ימימה | עלה | הימים | במחנה | בנביאם | המליך | נלכה | בנבאים | הלכים | הכלים
106	עבדיך | אמללה | המחבאים | אעלה | המלוכה | ומלכי | לעבד | אלהיכם | ולכן | עלו | ויפדו | ועל | היצא | ומיכל | ההמון
107	ואמליך | גלעד | יצאו | ויצא | ויאמן | יוצא | צוהו | וימאן | מאסו | בגלבע | הבנים | בניהם
108	קח | הנביאם | המחנה | עגלה | בכפו | ולבנך | חנים | ובמלכי | ינחם
109	ונגן | אחימלך
